Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,NOUN,PUNCT,ADV,NOUN,PRON,PRON,PRON,NOUN,NOUN,NOUN,NOUN
PRON,ADV,PRON,ADV,PRON,X,PRON,PRON,ADV,NOUN,ADV,PROPN,PRON,PRON,PRON
ADV,PRON,VERB,PROPN,ADV,ADV,NOUN,PROPN,NOUN,ADV,NOUN,PRON,ADV,ADV,DET
VERB,PROPN,DET,PRON,VERB,NOUN,VERB,ADV,VERB,VERB,VERB,ADV,PROPN,DET,VERB
DET,VERB,ADV,VERB,DET,VERB,DET,VERB,DET,DET,PROPN,VERB,VERB,VERB,ADV
PROPN,DET,ADP,X,PROPN,PRON,PROPN,DET,AUX,AUX,DET,DET,DET,PROPN,ADP
ADP,ADP,AUX,DET,ADP,ADP,AUX,ADP,ADP,ADP,ADP,ADP,ADP,ADP,AUX
AUX,AUX,PROPN,ADP,AUX,DET,ADP,AUX,PROPN,PROPN,AUX,ADJ,AUX,AUX,PROPN
CCONJ,CCONJ,ADJ,AUX,ADJ,ADJ,CCONJ,ADJ,CCONJ,CCONJ,CCONJ,AUX,CCONJ,ADJ,ADJ
