Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
ich,ich,der,der,der,ich,ich,nich,ich,det,der
der,der,ich,ich,ich,der,der,wat,der,ick,ich
sich,sich,sich,sich,sich,sich,sich,de,sich,der,sich
sein,und,und,mein,und,sein,sein,un,sein,ich,und
und,sein,mein,und,mein,mein,und,mi,und,nich,mein
mein,mein,sein,sein,sein,und,mein,is,mein,se,sein
nicht,du,nicht,in,nicht,nicht,du,di,nicht,wat,nicht
haben,nicht,zu,nicht,zu,zu,nicht,ick,einen,is,du
du,zu,in,du,in,haben,so,jo,haben,sich,zu
einen,so,du,zu,du,einen,zu,se,du,ooch,in
so,in,einen,einen,so,so,einen,em,so,de,einen
zu,einen,so,mit,einen,du,haben,en,zu,sein,so
in,haben,haben,so,haben,werden,in,du,in,und,was
werden,was,mit,wie,wie,in,was,he,was,haben,wie
was,wie,wie,auf,mit,daß,wie,nu,meinen,in,mit
meinen,mit,was,dies,was,was,mit,nee,werden,nu,von
daß,meinen,von,von,von,wollen,meinen,denn,wie,mein,meinen
mit,werden,auf,aus,dies,können,is,so,ja,un,haben
wie,von,werden,meinen,meinen,wenn,daß,dien,mit,et,dies
wollen,is,daß,mägdlein,doch,meinen,von,na,daß,herr,auf
